Name,Description,Latitude,Longitude,Type
Entrance #82971,"Type: Entrance, Accuracy: 3.54235m",25.2973354011126,51.420122992802,Entrance
Entrance #82972,"Type: Entrance, Accuracy: 5.77845m",25.2973618972017,51.4207141978743,Entrance
Entrance #82973,"Type: Entrance, Accuracy: 9.441m",25.2976096,51.4199739,Entrance
Entrance #82975,"Type: Entrance, Accuracy: 4.5754m",25.2975858096922,51.4707495709916,Entrance
Entrance #82976,"Type: Entrance, Accuracy: 13.65925m",25.2978381017734,51.420223843459,Entrance
Entrance #82977,"Type: Entrance, Accuracy: 5.125m",25.2983520346456,51.4207712880895,Entrance
Entrance #82978,"Type: Entrance, Accuracy: 8.22375m",25.2985416613926,51.4467223136553,Entrance
Entrance #82979,"Type: Entrance, Accuracy: 17.1606666666667m",25.2986958,51.4987856,Entrance
Entrance #82980,"Type: Entrance, Accuracy: 2.742m",25.299774901104,51.4407027436581,Entrance
Entrance #82981,"Type: Entrance, Accuracy: 11.45m",25.2999547438283,51.4058148354403,Entrance
Entrance #82982,"Type: Entrance, Accuracy: 4.67585m",25.3001125513717,51.5015994958837,Entrance
Entrance #82983,"Type: Entrance, Accuracy: 21.553m",25.3005914686913,51.4209829115027,Entrance
Entrance #82984,"Type: Entrance, Accuracy: 1.7269m",25.3005956,51.4202098,Entrance
Entrance #82986,"Type: Entrance, Accuracy: 7.498m",25.3014064519605,51.4607077516628,Entrance
Entrance #82987,"Type: Entrance, Accuracy: 5.989m",25.3029530819082,51.4903580299163,Entrance
Entrance #82988,"Type: Entrance, Accuracy: 9.766m",25.3029952653336,51.4183331939353,Entrance
Entrance #82989,"Type: Entrance, Accuracy: 11.255m",25.3057591794839,51.4472953503778,Entrance
Entrance #82990,"Type: Entrance, Accuracy: 7.178m",25.3062062817993,51.498416146933,Entrance
Entrance #82991,"Type: Entrance, Accuracy: 9.3231m",25.3065289836747,51.4983898578447,Entrance
Entrance #82992,"Type: Entrance, Accuracy: 8.086m",25.3064591590462,51.4984136511665,Entrance
Entrance #82993,"Type: Entrance, Accuracy: 7.284m",25.3075404578785,51.4969289600126,Entrance
Entrance #82994,"Type: Entrance, Accuracy: 8.75675m",25.3075679364059,51.497194832607,Entrance
Entrance #82995,"Type: Entrance, Accuracy: 9.441m",25.308185206412,51.4972992132335,Entrance
Entrance #82996,"Type: Entrance, Accuracy: 7.9215m",25.3085576795209,51.4102400738763,Entrance
Entrance #82997,"Type: Entrance, Accuracy: 3.034m",25.3087439,51.4104002,Entrance
Entrance #82998,"Type: Entrance, Accuracy: 5.338m",25.3101854079272,51.4962567755171,Entrance
Entrance #82999,"Type: Entrance, Accuracy: 36.2344444444444m",25.3119467036506,51.495301438746,Entrance
Entrance #83001,"Type: Entrance, Accuracy: 8.388m",25.3134245,51.5137097,Entrance
Entrance #83002,"Type: Entrance, Accuracy: 1.135m",25.3134103477117,51.4633840453349,Entrance
Entrance #83003,"Type: Entrance, Accuracy: 3.96m",25.3136153325414,51.512273136721,Entrance
Entrance #83004,"Type: Entrance, Accuracy: 10.282m",25.313683014443,51.5215232229406,Entrance
Entrance #83005,"Type: Entrance, Accuracy: 15.825m",25.3140979084315,51.5214356339774,Entrance
Entrance #83006,"Type: Entrance, Accuracy: 1.57195m",25.3138750981701,51.4734261690634,Entrance
Entrance #83007,"Type: Entrance, Accuracy: 10.957m",25.3139011104741,51.5215861549444,Entrance
Entrance #83008,"Type: Entrance, Accuracy: 5.04621052631579m",25.3141098945087,51.4868145141838,Entrance
Entrance #83009,"Type: Entrance, Accuracy: 12.597m",25.3140849855314,51.5215012940787,Entrance
Entrance #83010,"Type: Entrance, Accuracy: 7.947m",25.3140866950467,51.5214926081834,Entrance
