Name,Description,Latitude,Longitude,Type
Entrance #0,"Type: Entrance, Accuracy: 6.709m",24.8512924,50.8618697,Entrance
Entrance #1,"Type: Entrance, Accuracy: 1.0241m",25.1400715972009,51.6190462906355,Entrance
Entrance #2,"Type: Entrance, Accuracy: 6.864m",25.8370323,51.2598041,Entrance
Entrance #3,"Type: Entrance, Accuracy: 6.2286m",25.8479766031658,51.3503208795143,Entrance
Entrance #4,"Type: Entrance, Accuracy: 8.064m",25.872130130642,51.3499559491473,Entrance
Entrance #5,"Type: Entrance, Accuracy: 7.69215m",26.1213417077143,51.1936880326898,Entrance
Entrance #6,"Type: Entrance, Accuracy: 6.8008m",26.1273210538723,51.2058479,Entrance
Entrance #7,"Type: Entrance, Accuracy: 8.5627m",25.8347214874714,51.2449210453489,Entrance
Entrance #8,"Type: Entrance, Accuracy: 5.328m",26.0165372984795,51.3374678026222,Entrance
Entrance #9,"Type: Entrance, Accuracy: 5.3222m",25.3706169,51.219711159668,Entrance
Entrance #10,"Type: Entrance, Accuracy: 6.65885m",25.4941335340524,51.3978303848721,Entrance
Entrance #11,"Type: Entrance, Accuracy: 4.74377777777778m",25.4888342954695,51.3882635199715,Entrance
Entrance #12,"Type: Entrance, Accuracy: 5.609m",25.3666279,51.2531447,Entrance
Entrance #13,"Type: Entrance, Accuracy: 10.20105m",25.3761491039696,51.219171841255296,Entrance
Entrance #14,"Type: Entrance, Accuracy: 8.374m",25.4076309,51.0799304,Entrance
Entrance #15,"Type: Entrance, Accuracy: 7.93775m",25.5467891024101,51.4178957696783,Entrance
Entrance #16,"Type: Entrance, Accuracy: 7.0626m",25.496088190867,51.41363467762,Entrance
Entrance #17,"Type: Entrance, Accuracy: 7.94m",25.4068223526775,51.0799770430217,Entrance
Entrance #18,"Type: Entrance, Accuracy: 8.51684615384615m",25.3731384019773,51.2320483,Entrance
Entrance #19,"Type: Entrance, Accuracy: 9.97095m",25.4839835954937,51.3941540958831,Entrance
Entrance #20,"Type: Entrance, Accuracy: 9.94995m",25.3687779019664,51.2299019400302,Entrance
Entrance #21,"Type: Entrance, Accuracy: 9.73m",25.4067988,51.0799695,Entrance
Entrance #22,"Type: Entrance, Accuracy: 4.325m",25.4072170598744,51.0787275055493,Entrance
Entrance #23,"Type: Entrance, Accuracy: 3.928m",25.3751866,51.2274638,Entrance
Entrance #24,"Type: Entrance, Accuracy: 7.4472m",25.4739450232682,51.3900725603325,Entrance
Entrance #26,"Type: Entrance, Accuracy: 8.004m",25.4075080563558,51.0797204102434,Entrance
Entrance #27,"Type: Entrance, Accuracy: 7.286m",25.4077474,51.079202,Entrance
Entrance #28,"Type: Entrance, Accuracy: 1.081m",25.3682643569531,51.25404659606,Entrance
Entrance #29,"Type: Entrance, Accuracy: 3.774m",25.3726131019759,51.2315937593341,Entrance
Entrance #30,"Type: Entrance, Accuracy: 6.4822m",25.4941348908865,51.4151058782719,Entrance
Entrance #31,"Type: Entrance, Accuracy: 9.935m",25.4966487977152,51.4048633338782,Entrance
Entrance #32,"Type: Entrance, Accuracy: 4.8669m",25.4852197909755,51.3921452218699,Entrance
Entrance #33,"Type: Entrance, Accuracy: 3.7066m",25.364039696091,51.2251180322928,Entrance
Entrance #34,"Type: Entrance, Accuracy: 6.0938m",25.49167275,51.3956952418617,Entrance
Entrance #35,"Type: Entrance, Accuracy: 6.21363636363637m",25.4924593977257,51.4121727576255,Entrance
